,BE,DE4-S,DE4-W,DE4-E,DE4-N,DK1,FR,NL,PL
ACLine18,0,-0.326768,-0.24771,-0.264085,-0.251522,-0.251522,-0.63315,-0.146839,-0.264085
ACLine19,0,-0.673232,-0.75229,-0.735915,-0.748478,-0.748478,-0.36685,-0.853161,-0.735915
ACLine20,0,0.615277,-0.226386,-0.0520601,-0.18581,-0.18581,0.33527,-0.134198,-0.0520601
ACLine21,0,0.057955,-0.0213241,-0.212025,-0.0657118,-0.0657118,0.0315802,-0.0126406,-0.212025
ACLine22,0,0.326768,0.24771,0.264085,0.251522,0.251522,-0.36685,0.146839,0.264085
ACLine23,0,-0.0384763,0.014157,-0.523136,-0.110904,-0.110904,-0.0209661,0.00839207,-0.523136
ACLine24,0,-0.0194787,0.00716704,-0.264839,-0.823384,-0.823384,-0.0106141,0.00424851,-0.264839
ACLine25,0,0.673232,0.75229,0.735915,0.748478,0.748478,0.36685,-0.146839,0.735915
ACLine26,0,0.0194787,-0.00716704,0.264839,-0.176616,-0.176616,0.0106141,-0.004248,0.264839
ACLine27,0,0,0,0,0,0,0,0,-1
ACLine28,0,0,0,0,0,-1,0,0,0
